Player,Nation,Pos,Squad,Age,MP,Min,Gls,Ast,Wage,pts
Jean Mota,BRA,MF,Inter Miami,28,33,2660,2,2,7,48
Jefferson Savarino,VEN,FW,Real Salt Lake,25,19,1522,7,4,20,47
Jeremy Ebobisse,USA,FW,San Jose,24,34,2944,17,2,6.20734,35
Jesús Daniel Bueno,VEN,MF,Philadelphia,22,1,13,0,0,1.4,67
Jesús David Murillo Largacha,COL,DF,Los Angeles FC,27,29,2339,2,3,4.5,67
Jesús Ferreira,USA,FW,FC Dallas,21,33,2658,18,6,13,53
Jesús Jiménez,ESP,FW,Toronto FC,28,33,2342,9,3,8.15,34
Jhohan Romaña,COL,DF,Austin,23,10,336,0,0,4.4,56
Jhojan Valencia,COL,MF,Austin,25,13,471,0,1,3.55,56
Jhon Durán,COL,FW,Chicago Fire,18,27,1367,8,3,1.2,39
Jhon Espinoza,ECU,DF,Chicago Fire,22,19,493,0,0,2.16,39
Jimmy Maurer,USA,GK,FC Dallas,33,2,180,0,0,2.75,53
Jimmy Medranda,COL,DF,Seattle,27,21,651,0,2,2,41
Joaquín Torres,ARG,MF,CF Montréal,25,27,1311,3,2,2.3,65
Joe Willis,USA,GK,Nashville,33,32,2880,0,1,3,50
Joel Waterman,CAN,DF,CF Montréal,26,30,2671,3,2,1.25,65
Joevin Jones,TRI,DF,Inter Miami,30,8,123,0,0,3.6,48
Joey DeZart,USA,DF,Orlando City,23,1,3,0,0,0.89716,48
Johan Kappelhof,NED,DF,Real Salt Lake,31,6,540,1,0,2.6,47
John McCarthy,USA,GK,Los Angeles FC,29,1,90,0,0,1.1,67
John Nelson,USA,DF,FC Cincinnati,23,24,1203,0,1,0.655,49
John Pulskamp,USA,GK,Sporting KC,20,12,1028,0,0,0.89716,40
John Tolkin,USA,DF,NY Red Bulls,19,31,2744,1,3,1,53
Johnny Russell, SCO,FW,Sporting KC,31,33,2698,8,1,20,40
Jojea Kwizera,CGO,DF,CF Montréal,23,8,276,0,1,0.655,65
Jon Bell,USA,DF,New England,24,15,1053,1,0,0.84,42
Jon Gallagher,IRL,DF,Austin,25,32,2127,1,4,1.55,56
Jon Kempin,USA,GK,D.C. United,28,2,180,0,0,0.84,27
Jonathan Bond, ENG,GK,LA Galaxy,28,34,3060,0,0,4.75,50
Jonathan Bornstein,USA,DF,Chicago Fire,37,22,1201,1,0,3,39
Jonathan González,MEX,MF,Minnesota Utd,22,8,195,1,0,2.4,48
Jonathan Lewis,USA,FW,Colorado Rapids,24,33,2208,5,2,4.1,43
Jonathan Mensah,GHA,DF,Columbus Crew,31,30,2572,2,1,10,46
Jonathan Osorio,CAN,MF,Toronto FC,29,23,1687,9,4,10,34
Jonathan Perez,MEX,DF,LA Galaxy,19,1,8,0,0,1.5,50
Jony,ARG,FW,Real Salt Lake,27,4,144,0,0,5,47
Jordan Morris,USA,FW,Seattle,27,29,2316,7,2,12.5,41
Jordan Perruzza,CAN,FW,Toronto FC,21,13,232,0,0,0.84,34
Jordy Alcivar,ECU,MF,Charlotte,22,20,1019,1,1,2.35,42
Josef Martínez,VEN,FW,Atlanta Utd,28,26,1465,9,4,37.5,40
Joseph Mora,CRC,DF,Charlotte,29,23,1716,0,0,2,42
Joseph Rosales,HON,MF,Minnesota Utd,21,24,1052,0,2,0.655,48
Josh Williams,USA,DF,Columbus Crew,33,23,1427,0,1,3.25,46
Joshua Atencio,USA,MF,Seattle,20,18,725,0,0,0.84,41
Joshué Quiñónez,ECU,DF,FC Dallas,21,7,100,0,0,1.8,53
José Andrés Martínez,VEN,MF,Philadelphia,27,30,2518,0,2,2.5,67
José Cifuentes,ECU,MF,Los Angeles FC,22,33,2345,7,6,3.67875,67
José Martínez,ESP,DF,FC Dallas,28,31,2620,0,0,6.5,53
José Van Rankin,MEX,DF,Portland Timbers,28,24,1916,1,0,0.85,46
Jozy Altidore,USA,FW,New England,32,17,597,1,0,37.06139,42
João Moutinho,POR,DF,Orlando City,24,28,2457,2,1,2.2,48
João Paulo Mior,BRA,MF,Seattle,30,6,453,1,0,12,41
Judson,BRA,MF,San Jose,28,16,657,0,0,4.2,35
Julian Araujo,MEX,DF,LA Galaxy,20,33,2741,0,5,5.75,50
Julio Cascante,CRC,DF,Austin,28,32,2714,3,2,3.1,56
Julián Carranza,ARG,FW,Philadelphia,21,31,2210,14,6,9,67
Junior Moreno,VEN,MF,FC Cincinnati,28,27,2038,2,0,3.25,49
Justen Glad,USA,DF,Real Salt Lake,24,26,2303,3,0,6.75,47
Justin Haak,USA,MF,NYCFC,20,15,764,0,0,0.85444,55
Justin Meram,IRQ,MF,Real Salt Lake,33,33,2276,3,6,4.25,47
Justin Rasmussen,USA,DF,Portland Timbers,23,9,646,0,0,0.655,46
Justin Rennicks,USA,FW,New England,22,17,780,2,0,1.1,42
Jáder Obrian,COL,FW,FC Dallas,26,31,1343,2,2,3.825,53
Ján Greguš,SVK,MF,San Jose,31,27,1680,0,5,6,35
Júnior Urso,BRA,MF,Orlando City,32,34,2559,5,4,7.5,48
