Player,Nation,Pos,Squad,Age,MP,Min,Gls,Ast,Wage,pts
Rudy Camacho,FRA,DF,CF Montréal,30,28,2478,1,0,5,65
Russell Canouse,USA,MF,D.C. United,26,18,1192,1,1,5.15,27
Russell Teibert,CAN,MF,Vancouver,29,29,2035,0,0,4,43
Ryan Gauld, SCO,MF,Vancouver,26,28,2237,8,5,21.6,43
Ryan Hollingshead,USA,DF,Los Angeles FC,30,30,1930,6,1,3.9375,67
Ryan Meara,USA,GK,NY Red Bulls,31,1,90,0,0,3.24,53
Ryan Raposo,CAN,DF,Vancouver,22,30,1440,2,1,1,43
Ryan Sailor,USA,DF,Inter Miami,23,22,1521,0,0,0.655,48
Ryan Spaulding,USA,DF,New England,23,7,263,0,0,0.655,42
Rémi Walter,FRA,MF,Sporting KC,26,34,2972,3,1,8,40
Róbert Þorkelsson,ISL,DF,CF Montréal,19,11,167,0,0,1.5,65
Rónald Matarrita,CRC,DF,FC Cincinnati,27,7,224,1,3,7.5,49
Sacha Kljestan,USA,MF,LA Galaxy,36,21,440,1,2,0.84,50
Sam Junqua,USA,DF,Houston Dynamo,25,15,513,0,1,0.89513,36
Sam Nicholson, SCO,MF,Colorado Rapids,27,15,831,1,0,3,43
Sami Guediri,USA,DF,D.C. United,24,13,803,0,0,0.84,27
Samuel Adeniran,USA,FW,Seattle,23,2,73,0,0,0.655,41
Samuel Grandsir,FRA,FW,LA Galaxy,25,33,1611,3,5,9,50
Samuel Piette,CAN,MF,CF Montréal,27,26,1490,0,3,4,65
Santiago Moreno,COL,FW,Portland Timbers,21,34,2428,7,6,3,46
Santiago Rodríguez,URU,MF,NYCFC,22,32,2461,4,10,6.125,55
Santiago Sosa,ARG,MF,Atlanta Utd,22,21,1409,1,0,5.25,40
Scott Caldwell,USA,MF,Real Salt Lake,30,26,1363,0,0,2,47
Sean Davis,USA,MF,Nashville,28,34,2835,1,1,6.375,50
Sean Johnson,USA,GK,NYCFC,32,34,3060,0,0,5.5,55
Sean Nealis,USA,DF,NY Red Bulls,25,33,2952,0,0,1.75,53
Sean Zawadzki,USA,MF,Columbus Crew,21,5,289,1,0,0.84,46
Sebastian Anderson,USA,DF,Colorado Rapids,19,2,10,0,0,1.05,43
Sebastian Berhalter,USA,MF,Vancouver,20,18,1023,0,0,1,43
Sebastian Breza,CAN,GK,CF Montréal,23,23,2070,0,0,0.84,65
Sebastien Ibeagha,USA,DF,Los Angeles FC,30,17,1187,0,0,2.25,67
Sebastián Blanco,ARG,FW,Portland Timbers,33,32,1820,7,7,13.4,46
Sebastián Driussi,ARG,MF,Austin,25,34,2876,22,5,22,56
Sebastián Ferreira,PAR,FW,Houston Dynamo,23,31,2318,13,3,16,36
Serge Ngoma,USA,FW,NY Red Bulls,16,7,116,2,0,0.655,53
Sergio Córdova,VEN,FW,Real Salt Lake,24,33,2274,9,1,6,47
Sergio Oregel,USA,MF,Chicago Fire,16,1,12,0,0,0.655,39
Shane O'Neill,USA,DF,Toronto FC,28,26,1899,0,1,3.2,34
Shaquell Moore,USA,DF,Nashville,25,11,888,0,1,7,50
Shea Salinas,USA,FW,San Jose,35,13,203,1,0,2.8,35
Siad Haji,SOM,DF,San Jose,22,2,14,0,0,1.2,35
Sofiane Djeffal,FRA,MF,D.C. United,22,28,1686,0,1,0.655,27
Spencer Richey,USA,GK,Chicago Fire,29,1,90,0,0,1.32,39
Stanislav Ivanov,BUL,FW,Chicago Fire,22,15,882,1,0,3,39
Stefan Cleveland,USA,GK,Seattle,27,7,630,0,0,1.5,41
Stefan Frei,SUI,GK,Seattle,35,27,2430,0,0,5,41
Steve Birnbaum,USA,DF,D.C. United,31,32,2849,2,0,7.5,27
Steve Clark,USA,GK,Houston Dynamo,35,33,2905,0,0,5.6,36
Steven Beitashour,IRN,DF,Colorado Rapids,34,19,1313,0,2,1.5,43
Steven Moreira,FRA,DF,Columbus Crew,27,32,2783,1,5,5.5,46
Steven Sserwadda,UGA,MF,NY Red Bulls,19,2,29,0,0,0.655,53
Sunusi Ibrahim,NGA,MF,CF Montréal,19,6,236,0,0,2,65
Séga Coulibaly,FRA,DF,LA Galaxy,25,27,2148,1,0,4.2,50
Talles Magno,BRA,FW,NYCFC,19,34,2591,7,8,9.5,55
Tanner Beason,USA,DF,San Jose,24,28,2244,0,0,2,35
Tate Schmitt,USA,DF,Real Salt Lake,24,14,860,2,1,0.925,47
Taxiarchis Fountas,GRE,MF,D.C. United,26,21,1467,12,1,16,27
Taylor Washington,USA,DF,Nashville,28,14,601,0,1,0.93989,50
Tayvon Gray,USA,DF,NYCFC,19,27,1879,0,1,1.25,55
Teal Bunbury,USA,FW,Nashville,31,17,654,5,0,4,50
Teenage Hadebe,ZIM,DF,Houston Dynamo,26,22,1810,2,0,10.14,36
Tega Ikoba,USA,FW,Portland Timbers,18,2,23,0,0,0.85444,46
Tesho Akindele,CAN,FW,Orlando City,29,27,610,3,0,3.25,48
Themi Antonoglou,CAN,DF,Toronto FC,20,2,41,0,0,0.655,34
Theodore Ku-Dipietro,USA,FW,D.C. United,20,10,238,0,0,0.655,27
Thiago,BRA,FW,NYCFC,21,33,1405,5,2,1.8,55
Thiago Almada,ARG,MF,Atlanta Utd,20,29,2372,6,7,16.5,40
Thiago Martins,BRA,DF,NYCFC,26,26,2152,0,1,15,55
Thiaguinho,BRA,FW,Houston Dynamo,20,3,21,0,0,3.10344,36
Thomas Hasal,CAN,GK,Vancouver,22,17,1509,0,0,1.55,43
Thomas McNamara,USA,MF,New England,30,33,2477,4,3,2.4,42
Thomas Williams,USA,DF,Orlando City,17,4,181,0,0,0.66724000000000006,48
Tim Melia,USA,GK,Sporting KC,35,21,1852,0,0,5.25,40
Tim Parker,USA,DF,Houston Dynamo,28,28,2252,0,0,10,36
Tom Barlow,USA,FW,NY Red Bulls,26,33,1097,4,0,1.75,53
Tommy Thompson,USA,DF,San Jose,26,27,1322,1,2,2.8,35
Tony Alfaro,USA,DF,D.C. United,28,18,943,0,1,0.89513,27
Tosaint Ricketts,CAN,FW,Vancouver,34,23,450,4,1,0.84,43
Tristan Blackmon,USA,DF,Vancouver,25,28,2134,1,0,3.5,43
Tsiki Ntsabeleng,RSA,MF,FC Dallas,23,26,840,1,0,0.655,53
Tyler Blackett, ENG,DF,FC Cincinnati,27,20,1342,0,1,8.4,49
Tyler Miller,USA,GK,Minnesota Utd,28,3,225,0,0,4.25,48
Tyler Wolff,USA,FW,Atlanta Utd,18,5,253,0,0,1.1,40
Victor Bezerra,USA,FW,Chicago Fire,21,5,47,0,0,0.84,39
Victor Pálsson,ISL,MF,D.C. United,30,10,872,0,0,8.5,27
Victor Ulloa,USA,MF,Inter Miami,29,19,367,0,1,2.5,48
Victor Wanyama,KEN,MF,CF Montréal,30,32,2633,1,3,24,65
Vuk Latinovich,USA,DF,NYCFC,24,5,254,0,0,0.85444,55
Víctor Vázquez,ESP,MF,LA Galaxy,35,26,1159,2,3,4.4,50
Walker Zimmerman,USA,DF,Nashville,28,30,2521,4,1,20.88235,50
Washington Corozo,ECU,MF,Austin,23,3,51,0,1,3,56
Wikelman Carmona,VEN,MF,NY Red Bulls,18,2,43,0,0,0.66724000000000006,53
Wil Trapp,USA,MF,Minnesota Utd,29,27,2127,0,0,7.84875,48
Wilder Cartagena,PER,MF,Orlando City,27,8,331,0,0,2.4,48
Wilfrid Kaptoum,CMR,MF,New England,25,21,1066,1,0,5.25,42
Will Bruin,USA,FW,Seattle,32,24,868,3,0,2.6,41
Will Richmond,USA,MF,San Jose,21,2,45,0,0,0.655,35
William Yarbrough,USA,GK,Colorado Rapids,32,34,3014,0,0,3,43
Wyatt Omsberg,USA,DF,Chicago Fire,26,14,1259,1,0,1.4,39
Xavier Arreaga,ECU,DF,Seattle,27,27,2166,1,0,7,41
Xherdan Shaqiri,SUI,MF,Chicago Fire,30,29,2252,7,7,73.5,39
Yaw Yeboah,GHA,FW,Columbus Crew,24,19,791,0,1,6,46
Yeimar Gómez Andrade,COL,DF,Seattle,29,28,2314,1,0,6.50004,41
Yimmi Chará,COL,MF,Portland Timbers,30,34,2760,4,3,15,46
Yordy Reyna,PER,MF,Charlotte,28,19,845,3,3,7.975,42
Yuya Kubo,JPN,MF,FC Cincinnati,28,27,1349,1,1,10.91,49
Zac MacMath,USA,GK,Real Salt Lake,30,34,3060,0,0,2,47
Zac McGraw,USA,DF,Portland Timbers,24,22,1076,1,0,0.84,46
Zachary Brault-Guillard,CAN,DF,CF Montréal,23,18,629,4,2,2.75,65
Zarek Valentin,PUR,DF,Houston Dynamo,30,5,371,0,0,2.6,36
Zeca,BRA,DF,Houston Dynamo,27,20,1133,0,1,2.18182,36
Zico Bailey,USA,DF,FC Cincinnati,21,3,80,0,0,0.84,49
Zorhan Bassong,CAN,DF,CF Montréal,22,10,188,0,0,1.25,65
Álvaro Barreal,ARG,DF,FC Cincinnati,21,32,2199,5,5,3.5,49
Þorleifur Úlfarsson,ISL,FW,Houston Dynamo,21,31,1202,4,1,0.655,36
Đorđe Petrović,SRB,GK,New England,22,21,1890,0,0,2.25,42
Žan Kolmanič,SVN,DF,Austin,21,21,1070,0,2,3,56
